GEOID1,GEOID,HD01_VD01,HD01_VD02,Ratio
1400000US,4007001100,1006,143,0.14
1400000US,4007001200,1179,102,0.09
1400000US,4007001300,283,46,0.16
1400000US,4007940200,404,182,0.45
1400000US,4007940400,1132,443,0.39
1400000US,4009940500,733,264,0.36
1400000US,4009961100,1028,221,0.21
1400000US,4009961201,671,82,0.12
1400000US,4009961202,1006,160,0.16
1400000US,4009961300,761,155,0.2
1400000US,4009961400,1113,65,0.06
1400000US,4009961500,1131,152,0.13
1400000US,4009961600,303,41,0.14
1400000US,4009961700,924,97,0.1
1400000US,4011960100,735,82,0.11
1400000US,4011960200,909,23,0.03
1400000US,4011960300,785,127,0.16
1400000US,4012020100,740,52,0.07
1400000US,4012020201,424,92,0.22
1400000US,4012020202,215,4,0.02
1400000US,4012020501,608,45,0.07
1400000US,4012020502,1593,57,0.04
1400000US,4012020602,353,0,0
1400000US,4012940200,657,91,0.14
1400000US,4012940300,1074,319,0.3
1400000US,4012980000,0,0,#DIV/0!
1400000US,4013010101,1794,46,0.03
1400000US,4013010102,1600,177,0.11
1400000US,4013030401,1686,71,0.04
1400000US,4013030402,1289,64,0.05
1400000US,4013040502,1244,92,0.07
1400000US,4013040506,1693,74,0.04
1400000US,4013040507,1768,44,0.02
1400000US,4013040512,649,26,0.04
1400000US,4013040513,1060,8,0.01
1400000US,4013040514,1054,18,0.02
1400000US,4013040515,1330,137,0.1
1400000US,4013040516,1623,59,0.04
1400000US,4013040517,1974,198,0.1
1400000US,4013040518,1989,130,0.07
1400000US,4013040519,1813,62,0.03
1400000US,4013040520,1335,28,0.02
1400000US,4013040521,1891,79,0.04
1400000US,4013040522,1562,84,0.05
1400000US,4013040523,1223,77,0.06
1400000US,4013040524,590,15,0.03
1400000US,4013040525,1378,52,0.04
1400000US,4013040526,796,52,0.07
1400000US,4013040527,1194,85,0.07
1400000US,4013040528,2409,60,0.02
1400000US,4013040529,1175,17,0.01
1400000US,4013040530,944,42,0.04
1400000US,4013040531,1053,99,0.09
1400000US,4013050603,1183,141,0.12
1400000US,4013050604,847,123,0.15
1400000US,4013050605,2038,142,0.07
1400000US,4013050606,2465,201,0.08
1400000US,4013050607,1797,209,0.12
1400000US,4013050608,1885,262,0.14
1400000US,4013050609,1334,70,0.05
1400000US,4013050610,2364,232,0.1
1400000US,4013050611,1249,31,0.02
1400000US,4013050701,1334,158,0.12
1400000US,4013050702,1019,143,0.14
1400000US,4013060801,1248,325,0.26
1400000US,4013060802,599,83,0.14
1400000US,4013060901,1208,150,0.12
1400000US,4013060902,724,241,0.33
1400000US,4013060903,1147,249,0.22
1400000US,4013060904,793,151,0.19
1400000US,4013061009,2708,145,0.05
1400000US,4013061010,1451,90,0.06
1400000US,4013061011,1511,57,0.04
1400000US,4013061012,2133,118,0.06
1400000US,4013061013,1406,37,0.03
1400000US,4013061014,1646,51,0.03
1400000US,4013061015,1426,50,0.04
1400000US,4013061016,1542,42,0.03
1400000US,4013061017,0,0,#DIV/0!
1400000US,4013061018,1688,35,0.02
1400000US,4013061019,991,24,0.02
1400000US,4013061020,976,47,0.05
1400000US,4013061021,504,18,0.04
1400000US,4013061022,2563,351,0.14
1400000US,4013061023,2783,203,0.07
1400000US,4013061024,455,56,0.12
1400000US,4013061025,2497,91,0.04
1400000US,4013061026,1388,116,0.08
1400000US,4013061027,1337,36,0.03
1400000US,4013061028,750,102,0.14
1400000US,4013061029,1289,100,0.08
1400000US,4013061030,2015,27,0.01
1400000US,4013061031,1164,77,0.07
1400000US,4013061032,1631,135,0.08
1400000US,4013061033,1666,121,0.07
1400000US,4013061034,1689,127,0.08
1400000US,4013061035,1853,85,0.05
1400000US,4013061036,909,43,0.05
1400000US,4013061037,1178,104,0.09
1400000US,4013061038,1194,70,0.06
1400000US,4013061039,1105,151,0.14
1400000US,4013061040,1058,87,0.08
1400000US,4013061041,1050,50,0.05
1400000US,4013061042,686,94,0.14
1400000US,4013061043,601,37,0.06
1400000US,4013061044,1903,64,0.03
1400000US,4013061045,1583,14,0.01
1400000US,4013061046,1478,174,0.12
1400000US,4013061047,884,65,0.07
1400000US,4013061100,446,19,0.04
1400000US,4013061200,1318,523,0.4
1400000US,4013061300,425,91,0.21
1400000US,4013061401,473,177,0.37
1400000US,4013061402,1142,429,0.38
1400000US,4013071503,1348,67,0.05
1400000US,4013071504,1002,0,0
1400000US,4013071505,1797,81,0.05
1400000US,4013071506,1236,42,0.03
1400000US,4013071509,1376,101,0.07
1400000US,4013071510,1105,10,0.01
1400000US,4013071511,983,71,0.07
1400000US,4013071512,1557,33,0.02
1400000US,4013071513,450,20,0.04
1400000US,4013071514,1105,92,0.08
1400000US,4013071515,941,31,0.03
1400000US,4013071516,659,17,0.03
1400000US,4013071517,1025,42,0.04
1400000US,4013071600,863,195,0.23
1400000US,4013071701,623,54,0.09
1400000US,4013071702,760,76,0.1
1400000US,4013071801,1271,111,0.09
1400000US,4013071802,957,67,0.07
1400000US,4013071903,1680,103,0.06
1400000US,4013071906,1237,171,0.14
1400000US,4013071909,883,45,0.05
1400000US,4013071910,1595,147,0.09
1400000US,4013071911,766,36,0.05
1400000US,4013071912,558,107,0.19
1400000US,4013071913,1204,140,0.12
1400000US,4013071914,739,109,0.15
1400000US,4013071915,727,101,0.14
1400000US,4013082002,1630,157,0.1
1400000US,4013082007,999,155,0.16
1400000US,4013082008,1224,369,0.3
1400000US,4013082009,1133,247,0.22
1400000US,4013082010,890,306,0.34
1400000US,4013082012,1550,104,0.07
1400000US,4013082016,601,48,0.08
1400000US,4013082017,1008,112,0.11
1400000US,4013082018,1194,179,0.15
1400000US,4013082019,670,8,0.01
1400000US,4013082020,1158,85,0.07
1400000US,4013082021,507,31,0.06
1400000US,4013082022,1110,101,0.09
1400000US,4013082023,1285,75,0.06
1400000US,4013082024,1055,189,0.18
1400000US,4013082025,629,65,0.1
1400000US,4013082026,1339,107,0.08
1400000US,4013082027,1006,120,0.12
1400000US,4013082028,884,190,0.21
